timestamp,estrutura,tempo_execucao,memoria_atual_mb,memoria_pico_mb,energia_gasta_kwh,tamanho_estrutura
2026-03-16 15:24:55,hash_map,0.19445562362670898,7.928434,10.65012,1.061735384367324e-11,81838
2026-03-16 15:25:51,lista,25.444913148880005,3.459602,4.026046,0.00026446777986246833,80000
2026-03-16 15:28:56,linked_list,150.05099534988403,9.746632,12.048409,0.0015056440113524144,80000
